norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
67062,HULIANWANG DIGUI-122,PAYLOAD,Other,1149.295220246453,Mid LEO,LEO-Inclined,HIGH,50.003,8.41e-05,2024,0,<1yr,13.29329007,2026-05-27 07:21:45.390240,celestrak,2026-05-27,PRC,2026-05-27
67063,HULIANWANG DIGUI-123,PAYLOAD,Other,1149.2971870499787,Mid LEO,LEO-Inclined,HIGH,50.003,8.44e-05,2024,0,<1yr,13.29328486,2026-05-27 07:09:45.831168,celestrak,2026-05-27,PRC,2026-05-27
67064,HULIANWANG DIGUI-124,PAYLOAD,Other,1149.3073797183915,Mid LEO,LEO-Inclined,HIGH,49.9988,8.418e-05,2024,0,<1yr,13.29325786,2026-05-27 03:21:22.133664,celestrak,2026-05-27,PRC,2026-05-27
67065,HULIANWANG DIGUI-125,PAYLOAD,Other,1149.305012751207,Mid LEO,LEO-Inclined,HIGH,49.9982,8.495e-05,2024,0,<1yr,13.29326413,2026-05-27 03:09:16.959456,celestrak,2026-05-27,PRC,2026-05-27
67066,HULIANWANG DIGUI-126,PAYLOAD,Other,1149.3006789787905,Mid LEO,LEO-Inclined,HIGH,49.9984,9.31e-05,2024,0,<1yr,13.29327561,2026-05-27 06:33:41.959584,celestrak,2026-05-27,PRC,2026-05-27
67067,HULIANWANG DIGUI-127,PAYLOAD,Other,1149.3004675754182,Mid LEO,LEO-Inclined,HIGH,50.0002,8.652e-05,2024,0,<1yr,13.29327617,2026-05-27 02:45:09.675648,celestrak,2026-05-27,PRC,2026-05-27
67069,XIWANG-5 02,PAYLOAD,Other,517.5310173162443,Low LEO,LEO-Equatorial,HIGH,41.3514,0.0003761,2024,0,<1yr,15.16136296,2026-05-27 12:38:30.042240,celestrak,2026-05-27,PRC,2026-05-27
67070,DEAR-5,PAYLOAD,Other,513.4791431761214,Low LEO,LEO-Equatorial,HIGH,41.3595,0.0016066,2024,0,<1yr,15.17473594,2026-05-27 12:30:08.543808,celestrak,2026-05-27,PRC,2026-05-27
67073,RAISE-4,PAYLOAD,Other,539.7611203571878,Low LEO,LEO-Polar,HIGH,97.5086,0.0013821,2024,0,<1yr,15.08834199,2026-05-27 09:06:53.394624,celestrak,2026-05-27,JPN,2026-05-27
67075,STARLINK-36230,PAYLOAD,Starlink Gen 1,572.0279263535231,Low LEO,LEO-Inclined,HIGH,70.0008,0.000312,2024,0,<1yr,14.98339043,2026-05-27 12:30:16.801920,celestrak,2026-05-27,US,2026-05-27
67076,STARLINK-36240,PAYLOAD,Starlink Gen 1,572.0399155614614,Low LEO,LEO-Inclined,HIGH,70.0013,0.000361,2024,0,<1yr,14.98335166,2026-05-27 12:18:15.317856,celestrak,2026-05-27,US,2026-05-27
67077,STARLINK-36243,PAYLOAD,Starlink Gen 1,572.0466910175473,Low LEO,LEO-Inclined,HIGH,70.0023,0.0003368,2024,0,<1yr,14.98332975,2026-05-27 11:18:11.481408,celestrak,2026-05-27,US,2026-05-27
67078,STARLINK-36236,PAYLOAD,Starlink Gen 1,572.037970442706,Low LEO,LEO-Inclined,HIGH,70.001,0.0003933,2024,0,<1yr,14.98335795,2026-05-27 12:42:17.931744,celestrak,2026-05-27,US,2026-05-27
67079,STARLINK-36159,PAYLOAD,Starlink Gen 1,572.0410844888083,Low LEO,LEO-Inclined,HIGH,70.0015,0.0003849,2024,0,<1yr,14.98334788,2026-05-27 11:36:10.994112,celestrak,2026-05-27,US,2026-05-27
67080,STARLINK-36158,PAYLOAD,Starlink Gen 1,572.0277995656843,Low LEO,LEO-Inclined,HIGH,70.0017,0.0003171,2024,0,<1yr,14.98339084,2026-05-27 11:29:56.628096,celestrak,2026-05-27,US,2026-05-27
67081,STARLINK-35864,PAYLOAD,Starlink Gen 1,572.00844129508,Low LEO,LEO-Inclined,HIGH,70.0028,0.0004156,2024,0,<1yr,14.98345344,2026-05-27 11:41:57.795936,celestrak,2026-05-27,US,2026-05-27
67082,STARLINK-36035,PAYLOAD,Starlink Gen 1,572.049013416382,Low LEO,LEO-Inclined,HIGH,70.002,0.000376,2024,0,<1yr,14.98332224,2026-05-27 11:53:58.402176,celestrak,2026-05-27,US,2026-05-27
67083,STARLINK-36170,PAYLOAD,Starlink Gen 1,572.0079805327732,Low LEO,LEO-Inclined,HIGH,70.0013,0.0002647,2024,0,<1yr,14.98345493,2026-05-27 12:30:02.748096,celestrak,2026-05-27,US,2026-05-27
67084,STARLINK-36166,PAYLOAD,Starlink Gen 1,572.0122912918341,Low LEO,LEO-Inclined,HIGH,70.0024,0.0002921,2024,0,<1yr,14.98344099,2026-05-27 11:11:56.660928,celestrak,2026-05-27,US,2026-05-27
67085,STARLINK-35794,PAYLOAD,Starlink Gen 1,572.0427853099009,Low LEO,LEO-Inclined,HIGH,70.0009,0.0003696,2024,0,<1yr,14.98334238,2026-05-27 12:05:59.875008,celestrak,2026-05-27,US,2026-05-27
67086,STARLINK-35841,PAYLOAD,Starlink Gen 1,572.0362758093515,Low LEO,LEO-Inclined,HIGH,70.001,0.0003661,2024,0,<1yr,14.98336343,2026-05-27 12:36:03.064608,celestrak,2026-05-27,US,2026-05-27
67087,STARLINK-35842,PAYLOAD,Starlink Gen 1,572.0500184497678,Low LEO,LEO-Inclined,HIGH,70.0021,0.0003948,2024,0,<1yr,14.98331899,2026-05-27 12:00:14.320800,celestrak,2026-05-27,US,2026-05-27
67088,STARLINK-35882,PAYLOAD,Starlink Gen 1,572.0469384101398,Low LEO,LEO-Inclined,HIGH,70.0004,0.000466,2024,0,<1yr,14.98332895,2026-05-27 11:17:56.828832,celestrak,2026-05-27,US,2026-05-27
67089,STARLINK-35763,PAYLOAD,Starlink Gen 1,572.0400083334553,Low LEO,LEO-Inclined,HIGH,70.0012,0.0003564,2024,0,<1yr,14.98335136,2026-05-27 11:24:12.004416,celestrak,2026-05-27,US,2026-05-27
67090,STARLINK-36060,PAYLOAD,Starlink Gen 1,572.0435305791079,Low LEO,LEO-Inclined,HIGH,70.0018,0.0003434,2024,0,<1yr,14.98333997,2026-05-27 12:12:14.793120,celestrak,2026-05-27,US,2026-05-27
67091,STARLINK-36097,PAYLOAD,Starlink Gen 1,458.4512706757523,Very Low LEO,LEO-Inclined,HIGH,69.9941,0.0006515,2024,0,<1yr,15.35831687,2026-05-27 11:37:36.905952,celestrak,2026-05-27,US,2026-05-27
67092,STARLINK-35792,PAYLOAD,Starlink Gen 1,572.040911314356,Low LEO,LEO-Inclined,HIGH,70.0013,0.0003678,2024,0,<1yr,14.98334844,2026-05-27 12:36:17.347392,celestrak,2026-05-27,US,2026-05-27
67093,STARLINK-35784,PAYLOAD,Starlink Gen 1,572.0402897418553,Low LEO,LEO-Inclined,HIGH,70.0009,0.0003902,2024,0,<1yr,14.98335045,2026-05-27 11:47:57.943104,celestrak,2026-05-27,US,2026-05-27
67094,STARLINK-36202,PAYLOAD,Starlink Gen 1,572.0495638653911,Low LEO,LEO-Inclined,HIGH,70.0016,0.0004111,2024,0,<1yr,14.98332046,2026-05-27 11:35:56.605056,celestrak,2026-05-27,US,2026-05-27
67095,STARLINK-36227,PAYLOAD,Starlink Gen 1,572.0130984002635,Low LEO,LEO-Inclined,HIGH,70.0013,0.0004774,2024,0,<1yr,14.98343838,2026-05-27 12:06:15.317280,celestrak,2026-05-27,US,2026-05-27
67096,STARLINK-36228,PAYLOAD,Starlink Gen 1,572.0212282526427,Low LEO,LEO-Inclined,HIGH,70.002,0.0003562,2024,0,<1yr,14.98341209,2026-05-27 12:24:02.077344,celestrak,2026-05-27,US,2026-05-27
67097,STARLINK-36222,PAYLOAD,Starlink Gen 1,572.084644391115,Low LEO,LEO-Inclined,HIGH,70.002,0.0003225,2024,0,<1yr,14.98320702,2026-05-27 11:05:55.635072,celestrak,2026-05-27,US,2026-05-27
67098,STARLINK-36205,PAYLOAD,Starlink Gen 1,572.0418390347659,Low LEO,LEO-Inclined,HIGH,70.0011,0.0004166,2024,0,<1yr,14.98334544,2026-05-27 11:59:59.156736,celestrak,2026-05-27,US,2026-05-27
67099,STARLINK-36193,PAYLOAD,Starlink Gen 1,572.049962786371,Low LEO,LEO-Inclined,HIGH,70.0024,0.0003428,2024,0,<1yr,14.98331917,2026-05-27 11:42:13.464576,celestrak,2026-05-27,US,2026-05-27
67100,STARLINK-36215,PAYLOAD,Starlink Gen 1,572.105521596035,Low LEO,LEO-Inclined,HIGH,70.0032,0.0003342,2024,0,<1yr,14.98313951,2026-05-27 12:12:01.962720,celestrak,2026-05-27,US,2026-05-27
67101,STARLINK-36200,PAYLOAD,Starlink Gen 1,572.0517007218496,Low LEO,LEO-Inclined,HIGH,70.002,0.0003713,2024,0,<1yr,14.98331355,2026-05-27 11:12:10.732032,celestrak,2026-05-27,US,2026-05-27
67102,STARLINK-36255,PAYLOAD,Starlink Gen 1,483.03186355340404,Very Low LEO,LEO-Equatorial,HIGH,43.003,0.00022675,2024,0,<1yr,15.27585755,2026-05-27 05:02:23.549856,celestrak,2026-05-27,US,2026-05-27
